ID,Target,Question,Correct Answer,Distractor 1,Distractor 2,Distractor 3,D1,D2,D3,notes
1,adhere,It is important to <blank> to the rules and guidelines to ensure everyone's safety.,adhere,ignore,oppose,violate,0,0,0,
2,affection,"The puppy showed great <blank> for its owner, always wagging its tail and following her everywhere.",affection,confusion,anger,fear,0,0,0,
3,affiliate,The local charity is an <blank> of a larger international organization that helps people in need.,affiliate,opponent,competitor,rival,0,1,1,a/an issue
4,alliance,The two countries formed an <blank> to work together on economic and security issues.,alliance,argument,conflict,division,0,1,1,a/an issue
5,allot,The teacher decided to <blank> extra time for the students to complete their projects.,allot,borrow,spend,remove,0,0,0,
6,allowance,"Every month, her parents give her a small <blank> to spend on things she likes.",allowance,loan,bonus,salary,0,1,0,more than one answer
7,amendment,The government proposed an <blank> to the law to address the recent concerns raised by citizens.,amendment,agreement,announcement,argument,0,0,0,
8,apparatus,The scientist carefully adjusted the <blank> to ensure the experiment would work correctly.,apparatus,substance,formula,diagram,1,1,0,more than one answer
9,arithmetic,"In school, we learned basic <blank> like addition, subtraction, multiplication, and division.",arithmetic,geometry,algebra,calculus,0,0,0,
10,assertion,The scientist made an <blank> that the new treatment could significantly improve patient outcomes.,assertion,assumption,question,hesitation,1,1,1,"a/an issue, more than one answer"
11,bald,He decided to shave his head completely and now he is <blank>.,bald,tall,thin,curly,0,0,0,
12,barbarous,"The treatment of prisoners in the old days was often considered <blank>, showing no respect for human dignity.",barbarous,generous,civilized,compassionate,0,0,0,
13,bargain,I found a great <blank> at the market today; the price was much lower than I expected.,bargain,expense,offer,purchase,0,1,0,more than one answer
14,bid,"The company made a <blank> to take over the smaller business, but it was rejected.",bid,plan,offer,request,1,1,1,"a/an issue, more than one answer"
15,biography,I just finished reading a fascinating <blank> about the life of a famous scientist.,biography,novel,poem,manual,1,0,0,more than one answer
16,blunt,"The knife was too <blank> to cut through the bread, so we had to use another one.",blunt,sharp,smooth,thin,0,0,0,
17,breach,"The company faced a serious <blank> of customer data, which led to a loss of trust.",breach,growth,protection,increase,0,0,0,
18,breadth,The <blank> of her knowledge on the subject impressed everyone in the room.,breadth,height,depth,length,0,1,0,more than one answer
19,breakdown,"The car had a sudden <blank> on the highway, causing a long traffic jam.",breakdown,explosion,collision,shortcut,0,0,0,
20,bribe,The politician was accused of trying to offer a <blank> to the official in exchange for favorable treatment.,bribe,gift,loan,reward,1,0,1,more than one answer
21,bribery,The politician was accused of accepting <blank> to influence his decisions on the new law.,bribery,charity,loyalty,honesty,0,0,0,
22,brisk,"The weather was perfect for a <blank> walk in the park, with a cool breeze and clear skies.",brisk,slow,lazy,dull,1,1,0,more than one answer
23,bruise,"After falling off his bike, he had a large <blank> on his arm that turned purple the next day.",bruise,scar,cut,rash,0,0,0,
24,brutal,The movie was so <blank> that many people left the theater because they couldn't handle the intense scenes.,brutal,boring,funny,gentle,0,0,0,
25,bulk,"The store offers discounts for customers who buy in <blank>, encouraging them to purchase larger quantities.",bulk,pieces,parts,sections,0,0,0,
26,bulletin,The school posted a <blank> on the notice board to inform students about the upcoming event.,bulletin,poster,advertisement,pamphlet,1,1,1,"a/an issue, more than one answer"
27,bunch,She bought a <blank> of bananas from the market to make smoothies for the week.,bunch,pile,stack,group,1,1,0,more than one answer
28,candid,"During the interview, she gave a very <blank> answer about her previous job experience, which impressed the panel.",candid,vague,dishonest,reserved,0,0,0,
29,capricious,The weather in this region is so <blank> that you never know if it will be sunny or rainy in the next hour.,capricious,predictable,stable,consistent,0,0,0,
30,catastrophe,"The earthquake caused a major <blank>, leaving thousands of people homeless and in need of help.",catastrophe,celebration,opportunity,improvement,0,0,0,
31,ceiling,The room felt much bigger after they painted the <blank> white.,ceiling,floor,wall,window,1,1,0,more than one answer
32,certificate,"After completing the course, she received a <blank> to prove her achievement.",certificate,license,receipt,contract,1,0,0,more than one answer
33,cherish,It is important to <blank> the moments you spend with your loved ones because time passes quickly.,cherish,ignore,waste,forget,0,0,0,
34,clash,"The two teams had a <blank> of colors, making it hard to tell them apart during the game.",clash,blend,match,harmony,0,0,0,
35,clumsy,He is very <blank> and often drops things or bumps into furniture.,clumsy,graceful,careful,skilled,0,0,0,
36,collide,The two cars were going so fast that they didn’t have time to stop and <blank> at the intersection.,collide,avoid,pass,stop,0,0,0,
37,collision,The two cars were damaged after a <blank> at the intersection.,collision,discussion,decision,explosion,0,0,1,a/an issue
38,combat,The government is taking steps to <blank> the spread of misinformation online.,combat,promote,ignore,accept,0,0,0,
39,commence,"The ceremony will <blank> at 10 a.m., so please make sure to arrive on time.",commence,conclude,pause,interrupt,0,0,0,
40,commitment,"Achieving success in any field requires hard work, dedication, and a strong <blank> to your goals.",commitment,opinion,interest,preference,0,0,0,
41,compel,The teacher tried to <blank> the students to complete their homework by explaining its importance.,compel,ignore,discourage,permit,0,0,0,
42,competence,The job requires a high level of <blank> in both written and spoken communication.,competence,confidence,intelligence,experience,1,1,1,more than one answer
43,competent,"To be successful in this role, you need to be <blank> in handling various tasks efficiently.",competent,confused,careless,hesitant,0,0,0,
44,comply,Employees are required to <blank> with the company's safety regulations at all times.,comply,ignore,violate,oppose,0,0,0,
45,compression,"The file size was reduced significantly after applying <blank>, making it easier to send via email.",compression,expansion,extension,reduction,0,0,0,
46,comprise,"The committee will <blank> five members, each with a specific role to play in the project.",comprise,exclude,replace,separate,1,1,0,more than one answer
47,conceive,It is difficult to <blank> how technology will change our lives in the next 50 years.,conceive,ignore,forget,reject,0,0,0,
48,condemn,"The government was quick to <blank> the violent actions of the protesters, stating that such behavior was unacceptable.",condemn,support,ignore,praise,0,0,0,
49,condense,The teacher asked the students to <blank> their essays to fit within the word limit.,condense,expand,elaborate,scatter,0,0,0,
